Object,ObjectPath,ObjectFile,ObjectSize,ObjectLocation,Trigger
ball,images/ball,images/ball.png,"[1,1]","[0,0]",7
dog,images/dog,images/dog.png,"[1,1]","[0,0]",8
flower,images/flower,images/flower.png,"[1,1]","[0,0]",9
lamp,images/lamp,images/lamp.png,"[1,1]","[0,0]",10
telephone,images/telephone,images/telephone.png,"[1,1]","[0,0]",11
tv,images/tv,images/tv.png,"[1,1]","[0,0]",12
