BreakExperimentNumber,BreakImageCondition,BreakImagePath_1,BreakImagePath_2,BreakImage_1,BreakImage_2,BreakImageNumber,BreakImageExtension,BreakImageSizeX,BreakImageSizeY,BreakImagePositionX_1,BreakImagePositionY_1,BreakImagePositionX_2,BreakImagePositionY_2,BreakImageScale
1,1,../Break_Images/Cat.01.png,../Break_Images/Dog.01.png,Cat,Dog,01,.png,800,800,-0.5,0,0.5,0,1.25
1,2,../Break_Images/Dog.02.png,../Break_Images/Giraffe.02.png,Dog,Giraffe,02,.png,800,800,-0.5,0,0.5,0,1.25
1,3,../Break_Images/Giraffe.03.png,../Break_Images/Cat.03.png,Giraffe,Cat,03,.png,800,800,-0.5,0,0.5,0,1.25
1,4,../Break_Images/Cat.04.png,../Break_Images/Dog.04.png,Cat,Dog,04,.png,800,800,-0.5,0,0.5,0,1.25
1,5,../Break_Images/Dog.05.png,../Break_Images/Giraffe.05.png,Dog,Giraffe,05,.png,800,800,-0.5,0,0.5,0,1.25
1,6,../Break_Images/Giraffe.06.png,../Break_Images/Cat.06.png,Giraffe,Cat,06,.png,800,800,-0.5,0,0.5,0,1.25
1,7,../Break_Images/Cat.07.png,../Break_Images/Dog.07.png,Cat,Dog,07,.png,800,800,-0.5,0,0.5,0,1.25
1,8,../Break_Images/Dog.08.png,../Break_Images/Giraffe.08.png,Dog,Giraffe,08,.png,800,800,-0.5,0,0.5,0,1.25
